country,slug,visa_type,title,category,resource_status,source_org,source_type,url,official_page,local_path,notes
United Kingdom,united-kingdom,All UK visas,GOV.UK Apply to come to the UK,online_application_portal,official_online_portal,GOV.UK / UKVI,government,https://www.gov.uk/apply-to-come-to-the-uk,https://www.gov.uk/apply-to-come-to-the-uk/prepare-your-application,,"UK applications are online and paid through GOV.UK/UKVI. Show “Open official portal”, not download."
United Kingdom,united-kingdom,UK Visa Application Centre Ethiopia,VFS Global UK Addis Ababa centre page,appointment_portal,official_page,VFS Global / UKVI,vfs,https://visa.vfsglobal.com/eth/en/gbr/attend-centre/AddisAbaba,https://visa.vfsglobal.com/eth/en/gbr,,Use for VAC address/what to bring; verify current appointment process.
United States,united-states,Nonimmigrant visas,DS-160 Online Nonimmigrant Visa Application,online_application_portal,official_online_portal,U.S. Department of State / CEAC,government,https://ceac.state.gov/genniv/,https://travel.state.gov/content/travel/en/us-visas/visa-information-resources/forms/ds-160-online-nonimmigrant-visa-application.html,,DS-160 is electronic. Do not provide fake PDF form; show portal and confirmation-page instructions.
United States,united-states,U.S. visas Ethiopia,U.S. Embassy Ethiopia visas page,requirements_page,official_page,U.S. Embassy in Ethiopia,embassy,https://et.usembassy.gov/visas/,https://et.usembassy.gov/visas/,,Official Ethiopia-specific U.S. visa page.
Canada,canada,Visitor / TRV,IMM 5257 Application for Temporary Resident Visa,application_form,downloadable_official_pdf,IRCC / Government of Canada,government,https://www.canada.ca/content/dam/ircc/documents/pdf/english/kits/forms/imm5257/01-09-2023/imm5257e.pdf,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/imm5257.html,/forms/canada/imm5257e.pdf,Dynamic XFA PDF; preview may show Adobe Reader message in browser. Provide download and official page link.
Canada,canada,Visitor / TRV,IMM 5484 Document Checklist: Temporary Resident Visa outside Canada,document_checklist,downloadable_official_pdf,IRCC / Government of Canada,government,https://www.canada.ca/content/dam/ircc/documents/pdf/english/kits/forms/imm5484/03-2026/imm5484e.pdf,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/imm5484.html,/forms/canada/imm5484e.pdf,Official checklist page says last updated March 2026.
Canada,canada,Temporary Residence,IMM 5257 Schedule 1,application_form,downloadable_official_pdf,IRCC / Government of Canada,government,https://www.canada.ca/content/dam/ircc/documents/pdf/english/kits/forms/imm5257-sch1/01-09-2023/imm5257_1e.pdf,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides.html,/forms/canada/imm5257_1e.pdf,Use when required by application package.
Canada,canada,Visitor / Student / Worker,IMM 5645 Family Information,application_form,downloadable_official_pdf,IRCC / Government of Canada,government,https://www.canada.ca/content/dam/ircc/documents/pdf/english/kits/forms/imm5645/01-01-2021/imm5645e.pdf,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides.html,/forms/canada/imm5645e.pdf,Family information form; applicant must follow IRCC package for exact form.
Canada,canada,Visitor / Student / Worker,IMM 5707 Family Information,application_form,official_page,IRCC / Government of Canada,government,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/imm5707.html,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/imm5707.html,,Use official page because Canada may serve dynamic PDF/versioned links.
Schengen Area,schengen,Short-stay C visa,Harmonised Application Form: Application for Schengen Visa,application_form,downloadable_official_pdf,European Commission / EU Home Affairs,government,https://home-affairs.ec.europa.eu/document/download/5fe79baa-2d46-4b65-84ec-ea2e9b5ab1d6_en?filename=Visa+Application+Form.pdf,https://home-affairs.ec.europa.eu/policies/schengen-borders-and-visa/visa-policy_en,/forms/schengen/schengen-visa-application-form.pdf,Free official Schengen form; country-specific portals may generate their own form.
Germany,germany,Short-stay Schengen visit,Germany Addis Ababa Schengen Visa Page / 45-day Ethiopia warning,requirements_page,official_page,German Embassy Addis Ababa / Federal Foreign Office,embassy,https://addis-abeba.diplo.de/et-en/service/visa-einreise/schengen-visa-2515720,https://addis-abeba.diplo.de/et-en/service/visa-einreise/schengen-visa-2515720,,Use page content; Ethiopia applications must be submitted at least 45 days before travel.
Germany,germany,Short-stay visit,Germany Visit Visa Addis Ababa requirements page,requirements_page,official_page,German Embassy Addis Ababa / Federal Foreign Office,embassy,https://addis-abeba.diplo.de/et-en/service/visa-einreise/visit-visa-2563882,https://addis-abeba.diplo.de/et-en/service/visa-einreise/visit-visa-2563882,,Use as official source for German visit checklist; may not be a direct PDF.
France,france,Short-stay Schengen,France-Visas Ethiopia official country page,online_application_portal,official_online_portal,France-Visas / French Government,government,https://france-visas.gouv.fr/en/web/france-visas/ethiopie,https://france-visas.gouv.fr/en/web/france-visas/ethiopie,,France application is generated online through France-Visas; show portal button.
France,france,Visa application,France-Visas application portal,online_application_portal,official_online_portal,France-Visas / French Government,government,https://france-visas.gouv.fr/en/demande-de-visa,https://france-visas.gouv.fr/en/demande-de-visa,,Official portal; no static blank form should be recreated.
Italy,italy,Tourism Schengen,Italy Ethiopia Tourism Visa Checklist PDF,document_checklist,downloadable_official_pdf,VFS Global / Embassy of Italy Ethiopia,vfs,https://visa.vfsglobal.com/one-pager/italy/ethiopia/english/pdf/New-Tourism-Visa-Italy.pdf,https://visa.vfsglobal.com/one-pager/italy/ethiopia/english/index.html,/forms/italy/new-tourism-visa-italy.pdf,Ethiopia-specific VFS checklist.
Italy,italy,Short-stay visa,Embassy of Italy Addis Ababa short-stay visa instructions,requirements_page,official_page,Embassy of Italy Addis Ababa,embassy,https://ambaddisabeba.esteri.it/en/servizi-consolari-e-visti/servizi-per-il-cittadino-straniero/visti/visto-di-breve-durata/,https://ambaddisabeba.esteri.it/en/servizi-consolari-e-visti/servizi-per-il-cittadino-straniero/visti/visto-di-breve-durata/,,Contains 45-day Ethiopia processing warning and visa-type requirements.
Netherlands,netherlands,Tourism Schengen,Netherlands Ethiopia Tourism Checklist PDF,document_checklist,downloadable_official_pdf,VFS Global / Netherlands,vfs,https://visa.vfsglobal.com/one-pager/netherlands/ethopia/english/pdf/checklist-visa-Tourism-Ethiopia.pdf,https://www.netherlandsworldwide.nl/visa-the-netherlands/schengen-visa/apply-ethiopia,/forms/netherlands/checklist-visa-tourism-ethiopia.pdf,Ethiopia-specific VFS checklist; note URL spelling “ethopia”.
Netherlands,netherlands,Family/Friends Schengen,Netherlands Ethiopia Visiting Family and Friends Checklist PDF,document_checklist,downloadable_official_pdf,VFS Global / Netherlands,vfs,https://visa.vfsglobal.com/one-pager/netherlands/ethopia/english/pdf/checklist-visa-Visiting-family-and-friends-Ethiopia.pdf,https://www.netherlandsworldwide.nl/visa-the-netherlands/schengen-visa/apply-ethiopia,/forms/netherlands/checklist-visa-visiting-family-and-friends-ethiopia.pdf,Ethiopia-specific VFS checklist.
Netherlands,netherlands,Business/Conference Schengen,Netherlands Ethiopia Business and Conference Checklist PDF,document_checklist,downloadable_official_pdf,VFS Global / Netherlands,vfs,https://visa.vfsglobal.com/one-pager/netherlands/ethopia/english/pdf/checklist-visa-Business-and-conference-Ethiopia.pdf,https://www.netherlandsworldwide.nl/visa-the-netherlands/schengen-visa/apply-ethiopia,/forms/netherlands/checklist-visa-business-and-conference-ethiopia.pdf,Ethiopia-specific VFS checklist; verify link before publishing.
Sweden,sweden,Schengen visit,Sweden Ethiopia VFS visa information page,requirements_page,official_page,VFS Global / Sweden,vfs,https://visa.vfsglobal.com/one-pager/sweden/ethiopia/english/,https://visa.vfsglobal.com/one-pager/sweden/ethiopia/english/,,Lists Schengen application form and invitation forms; use as hub.
Sweden,sweden,Family/Friends Schengen,Sweden Ethiopia Visiting Family/Friends Checklist PDF,document_checklist,downloadable_official_pdf,VFS Global / Sweden,vfs,https://visa.vfsglobal.com/one-pager/sweden/ethiopia/english/pdf/visiting-family-friends-checklist-2022.pdf,https://visa.vfsglobal.com/one-pager/sweden/ethiopia/english/,/forms/sweden/visiting-family-friends-checklist-2022.pdf,Ethiopia-specific VFS checklist.
